type,id,icon,english,khmer,speaker,pair_id,notes
meta,module_number,,1,,,,
meta,lesson_number,,1,,,,
meta,module_label,,Module,ម៉ូឌុល,,,
meta,lesson_label,,Lesson,មេរៀន,,,
meta,title,,Good Morning,អរុណសួស្តី,,,
meta,fluency_card_label,,Fluency Card,កាតស្ទាត់ជំនាញ,,,
meta,back_button,,Back,ថយក្រោយ,,,
meta,next_button,,Next,បន្ទាប់,,,
meta,review_lesson_button,,Review Lesson,ពិនិត្យមេរៀនឡើងវិញ,,,
meta,return_to_lessons_button,,Return to Lessons,ត្រឡប់ទៅមេរៀន,,,
meta,courses_button,,Courses,វគ្គសិក្សា,,,
meta,settings_button,,Settings,ការកំណត់,,,
meta,conversation_label,,Conversation Practice,ការអនុវត្តសន្ទនា,,,
meta,solo_mode_label,,Practice Alone,ហាត់តែម្នាក់ឯង,,,
meta,tutor_mode_label,,Practice With a Tutor,ហាត់ជាមួយគ្រូ,,,
meta,teacher_label,,Teacher,គ្រូ,,,
meta,student_label,,Student,សិស្ស,,,
phrase,M01-C001,🌅,Good morning.,អរុណសួស្តី។,,,
phrase,M01-C002,🛏️,Did you sleep well?,តើយប់មិញអ្នកគេងលក់ស្រួលទេ?,,,
phrase,M01-C003,🙂,"Yes, I slept well.",បាទ/ចាស ខ្ញុំគេងលក់ស្រួល។,,,
phrase,M01-C004,👀,Are you awake?,តើអ្នកភ្ញាក់ហើយឬនៅ?,,,
phrase,M01-C005,😴,Almost.,ជិតហើយ។,,,
phrase,M01-C006,⏰,Please get up.,សូមក្រោកឡើង។,,,
phrase,M01-C007,🙋,I'm getting up.,ខ្ញុំកំពុងក្រោកហើយ។,,,
phrase,M01-C008,🧴,Are you getting ready?,តើអ្នកកំពុងរៀបចំខ្លួនមែនទេ?,,,
phrase,M01-C009,✅,"Yes, I'm getting ready.",បាទ/ចាស ខ្ញុំកំពុងរៀបចំខ្លួន។,,,
phrase,M01-C010,⏳,Do you need more time?,តើអ្នកត្រូវការពេលបន្ថែមទៀតទេ?,,,
phrase,M01-C011,🙏,"Yes, please.",បាទ/ចាស សូម។,,,
phrase,M01-C012,☝️,"Give me a minute, please.",សូមឱ្យខ្ញុំមួយនាទី។,,,
phrase,M01-C013,⌛,I'm almost ready.,ខ្ញុំជិតរួចរាល់ហើយ។,,,
phrase,M01-C014,❓,Are you ready?,តើអ្នករួចរាល់ហើយឬនៅ?,,,
phrase,M01-C015,👍,"Yes, I'm ready.",បាទ/ចាស ខ្ញុំរួចរាល់ហើយ។,,,
phrase,M01-C016,🚪,Let's go.,តោះ យើងទៅ។,,,
phrase,M01-C017,☀️,Have a good day.,សូមឱ្យមានថ្ងៃល្អ។,,,
phrase,M01-C018,😊,You too.,អ្នកក៏ដូចគ្នា។,,,
dialogue,M01-D001,,Good morning.,អរុណសួស្តី។,teacher,EX01,
dialogue,M01-D002,,Good morning.,អរុណសួស្តី។,student,EX01,
dialogue,M01-D003,,Did you sleep well?,តើយប់មិញអ្នកគេងលក់ស្រួលទេ?,teacher,EX02,
dialogue,M01-D004,,"Yes, I slept well.",បាទ/ចាស ខ្ញុំគេងលក់ស្រួល។,student,EX02,
dialogue,M01-D005,,Are you getting ready?,តើអ្នកកំពុងរៀបចំខ្លួនមែនទេ?,teacher,EX03,
dialogue,M01-D006,,"Yes. Give me a minute, please.",បាទ/ចាស។ សូមឱ្យខ្ញុំមួយនាទី។,student,EX03,
dialogue,M01-D007,,Are you ready?,តើអ្នករួចរាល់ហើយឬនៅ?,teacher,EX04,
dialogue,M01-D008,,"Yes, I'm ready. Let's go.",បាទ/ចាស ខ្ញុំរួចរាល់ហើយ។ តោះ យើងទៅ។,student,EX04,
